Issuer Code,Date,Price,Volume,Change,SMA_10,EMA_10,RSI,Signal
ALK,2014-01-02 00:00:00,4422.0,"4.430,00","4.421,00",,,,Hold
ALK,2014-01-03 00:00:00,4500.0,"4.500,00","4.422,00",,,,Hold
ALK,2014-01-08 00:00:00,4450.0,"4.500,00","4.410,00",,,,Hold
ALK,2014-01-09 00:00:00,4400.0,"4.500,00","4.400,00",,,,Hold
ALK,2014-01-10 00:00:00,4455.0,"4.500,00","4.455,00",,,,Hold
ALK,2014-01-13 00:00:00,4401.0,"4.450,00","4.400,00",,,,Hold
ALK,2014-01-14 00:00:00,4430.0,"4.430,00","4.428,00",,,,Hold
ALK,2014-01-15 00:00:00,4430.0,"4.430,00","4.430,00",,,,Hold
ALK,2014-01-16 00:00:00,4402.0,"4.430,00","4.400,00",,,,Hold
ALK,2014-01-17 00:00:00,4420.0,"4.420,00","4.401,00",4431.0,4423.817913756255,,Hold
ALK,2014-01-20 00:00:00,4430.0,"4.430,00","4.402,00",4431.8,4424.941929436935,,Hold
ALK,2014-01-21 00:00:00,4420.0,"4.420,00","4.405,00",4423.8,4424.043396812038,,Hold
ALK,2014-01-22 00:00:00,4420.0,"4.425,00","4.420,00",4420.8,4423.308233755303,,Hold
ALK,2014-01-23 00:00:00,4421.0,"4.430,00","4.421,00",4422.9,4422.888554890702,49.06136890115186,Hold
ALK,2014-01-24 00:00:00,4450.0,"4.450,00","4.450,00",4422.4,4427.817908546938,55.83315217771864,Hold
ALK,2014-01-27 00:00:00,4450.0,"4.450,00","4.450,00",4427.3,4431.851016083859,55.83315217771864,Hold
ALK,2014-01-28 00:00:00,4421.0,"4.450,00","4.421,00",4426.4,4429.878104068612,48.37477852218203,Hold
ALK,2014-01-29 00:00:00,4450.0,"4.450,00","4.449,00",4428.4,4433.536630601591,54.867490730456254,Hold
ALK,2014-01-30 00:00:00,4500.0,"4.500,00","4.449,00",4438.2,4445.62087958312,63.41156075710654,Hold
ALK,2014-01-31 00:00:00,4450.0,"4.498,00","4.421,00",4441.2,4446.41708329528,52.67295936892002,Hold
ALK,2014-02-03 00:00:00,4413.0,"4.450,00","4.413,00",4439.5,4440.341249968865,46.409648579524244,Hold
ALK,2014-02-04 00:00:00,4412.0,"4.412,00","4.412,00",4438.7,4435.188295429071,46.24957966782423,Hold
ALK,2014-02-05 00:00:00,4412.0,"4.420,00","4.412,00",4437.9,4430.972241714695,46.24957966782423,Hold
ALK,2014-02-06 00:00:00,4420.0,"4.420,00","4.413,00",4437.8,4428.977288675659,47.91628944393775,Hold
ALK,2014-02-07 00:00:00,4450.0,"4.450,00","4.450,00",4437.8,4432.799599825539,53.712661793779674,Hold
ALK,2014-02-10 00:00:00,4450.0,"4.450,00","4.416,00",4437.8,4435.926945311805,53.712661793779674,Hold
ALK,2014-02-11 00:00:00,4453.0,"4.500,00","4.451,00",4441.0,4439.031137073295,54.3024775646682,Hold
ALK,2014-02-12 00:00:00,4450.0,"4.450,00","4.450,00",4441.0,4441.025475787242,53.56738955300799,Hold
ALK,2014-02-13 00:00:00,4451.0,"4.451,00","4.451,00",4436.1,4442.839025644106,53.79193327776164,Hold
ALK,2014-02-14 00:00:00,4450.0,"4.451,00","4.450,00",4436.1,4444.141020981541,53.51324175016152,Hold
ALK,2014-02-17 00:00:00,4450.0,"4.450,00","4.450,00",4439.8,4445.2062898939885,53.51324175016152,Hold
ALK,2014-02-18 00:00:00,4451.0,"4.452,00","4.450,00",4443.7,4446.259691731445,53.79089549291095,Hold
ALK,2014-02-19 00:00:00,4499.0,"4.499,00","4.453,00",4452.4,4455.848838689364,64.69205381403492,Hold
ALK,2014-02-20 00:00:00,4499.0,"4.500,00","4.499,00",4460.3,4463.694504382207,64.69205381403492,Hold
ALK,2014-02-21 00:00:00,4500.0,"4.500,00","4.499,00",4465.3,4470.295503585442,64.89216770631919,Hold
ALK,2014-02-24 00:00:00,4500.0,"4.500,00","4.500,00",4470.3,4475.696321115362,64.89216770631919,Hold
ALK,2014-02-25 00:00:00,4500.0,"4.500,00","4.470,00",4475.0,4480.115171821659,64.89216770631919,Hold
ALK,2014-02-26 00:00:00,4500.0,"4.500,00","4.500,00",4480.0,4483.730595126812,64.89216770631919,Hold
ALK,2014-02-27 00:00:00,4500.0,"4.500,00","4.480,00",4484.9,4486.688668740118,64.89216770631919,Hold
